년도,광역,기초,경찰서,시구only,연령,성별,가구수
2017,경기,가평군,경기가평경찰서,가평군,16~20세,남자,8
2017,경기,가평군,경기가평경찰서,가평군,21~30세,남자,391
2017,경기,가평군,경기가평경찰서,가평군,21~30세,여자,189
2017,경기,가평군,경기가평경찰서,가평군,31~40세,남자,477
2017,경기,가평군,경기가평경찰서,가평군,31~40세,여자,243
2017,경기,가평군,경기가평경찰서,가평군,41~50세,남자,563
2017,경기,가평군,경기가평경찰서,가평군,41~50세,여자,338
2017,경기,가평군,경기가평경찰서,가평군,51~60세,남자,1013
2017,경기,가평군,경기가평경찰서,가평군,51~60세,여자,813
2017,경기,가평군,경기가평경찰서,가평군,61~세,남자,1420
2017,경기,가평군,경기가평경찰서,가평군,61~세,여자,2360
2017,서울,강남구,,강남구,16~20세,남자,259
2017,서울,강남구,,강남구,16~20세,여자,279
2017,서울,강남구,,강남구,21~30세,남자,4967
2017,서울,강남구,,강남구,21~30세,여자,8002
2017,서울,강남구,,강남구,31~40세,남자,9417
2017,서울,강남구,,강남구,31~40세,여자,10941
2017,서울,강남구,,강남구,41~50세,남자,5489
2017,서울,강남구,,강남구,41~50세,여자,5245
2017,서울,강남구,,강남구,51~60세,남자,3179
2017,서울,강남구,,강남구,51~60세,여자,3400
2017,서울,강남구,,강남구,61~세,남자,3203
2017,서울,강남구,,강남구,61~세,여자,8392
2017,서울,강동구,서울강동경찰서,강동구,16~20세,남자,71
2017,서울,강동구,서울강동경찰서,강동구,16~20세,여자,91
2017,서울,강동구,서울강동경찰서,강동구,21~30세,남자,2612
2017,서울,강동구,서울강동경찰서,강동구,21~30세,여자,3362
2017,서울,강동구,서울강동경찰서,강동구,31~40세,남자,5226
2017,서울,강동구,서울강동경찰서,강동구,31~40세,여자,3832
2017,서울,강동구,서울강동경찰서,강동구,41~50세,남자,4224
2017,서울,강동구,서울강동경찰서,강동구,41~50세,여자,2726
2017,서울,강동구,서울강동경찰서,강동구,51~60세,남자,4001
2017,서울,강동구,서울강동경찰서,강동구,51~60세,여자,3167
2017,서울,강동구,서울강동경찰서,강동구,61~세,남자,3930
2017,서울,강동구,서울강동경찰서,강동구,61~세,여자,7808
2017,강원,강릉시,강원강릉경찰서,강릉시,16~20세,남자,324
2017,강원,강릉시,강원강릉경찰서,강릉시,16~20세,여자,205
2017,강원,강릉시,강원강릉경찰서,강릉시,21~30세,남자,5014
2017,강원,강릉시,강원강릉경찰서,강릉시,21~30세,여자,2587
2017,강원,강릉시,강원강릉경찰서,강릉시,31~40세,남자,1845
2017,강원,강릉시,강원강릉경찰서,강릉시,31~40세,여자,1095
2017,강원,강릉시,강원강릉경찰서,강릉시,41~50세,남자,2200
2017,강원,강릉시,강원강릉경찰서,강릉시,41~50세,여자,1362
2017,강원,강릉시,강원강릉경찰서,강릉시,51~60세,남자,2631
2017,강원,강릉시,강원강릉경찰서,강릉시,51~60세,여자,2425
2017,강원,강릉시,강원강릉경찰서,강릉시,61~세,남자,3282
2017,강원,강릉시,강원강릉경찰서,강릉시,61~세,여자,7560
2017,서울,강북구,서울강북경찰서,강북구,16~20세,남자,61
2017,서울,강북구,서울강북경찰서,강북구,16~20세,여자,262
2017,서울,강북구,서울강북경찰서,강북구,21~30세,남자,2293
2017,서울,강북구,서울강북경찰서,강북구,21~30세,여자,3403
2017,서울,강북구,서울강북경찰서,강북구,31~40세,남자,3652
2017,서울,강북구,서울강북경찰서,강북구,31~40세,여자,2561
2017,서울,강북구,서울강북경찰서,강북구,41~50세,남자,3613
2017,서울,강북구,서울강북경찰서,강북구,41~50세,여자,2495
2017,서울,강북구,서울강북경찰서,강북구,51~60세,남자,3788
2017,서울,강북구,서울강북경찰서,강북구,51~60세,여자,3200
2017,서울,강북구,서울강북경찰서,강북구,61~세,남자,4402
2017,서울,강북구,서울강북경찰서,강북구,61~세,여자,9352
2017,서울,강서구,부산강서경찰서,강서구,16~20세,남자,123
2017,서울,강서구,부산강서경찰서,강서구,16~20세,여자,173
2017,서울,강서구,부산강서경찰서,강서구,21~30세,남자,6185
2017,서울,강서구,부산강서경찰서,강서구,21~30세,여자,8700
2017,서울,강서구,부산강서경찰서,강서구,31~40세,남자,11616
2017,서울,강서구,부산강서경찰서,강서구,31~40세,여자,8035
2017,서울,강서구,부산강서경찰서,강서구,41~50세,남자,7175
2017,서울,강서구,부산강서경찰서,강서구,41~50세,여자,4742
2017,서울,강서구,부산강서경찰서,강서구,51~60세,남자,5884
2017,서울,강서구,부산강서경찰서,강서구,51~60세,여자,5224
2017,서울,강서구,부산강서경찰서,강서구,61~세,남자,6489
2017,서울,강서구,부산강서경찰서,강서구,61~세,여자,13819
2017,전남,강진군,전남강진경찰서,강진군,16~20세,남자,8
2017,전남,강진군,전남강진경찰서,강진군,21~30세,남자,137
2017,전남,강진군,전남강진경찰서,강진군,21~30세,여자,109
2017,전남,강진군,전남강진경찰서,강진군,31~40세,남자,183
2017,전남,강진군,전남강진경찰서,강진군,31~40세,여자,99
2017,전남,강진군,전남강진경찰서,강진군,41~50세,남자,309
2017,전남,강진군,전남강진경찰서,강진군,41~50세,여자,110
2017,전남,강진군,전남강진경찰서,강진군,51~60세,남자,498
2017,전남,강진군,전남강진경찰서,강진군,51~60세,여자,333
2017,전남,강진군,전남강진경찰서,강진군,61~세,남자,867
2017,전남,강진군,전남강진경찰서,강진군,61~세,여자,2819
2017,인천,강화군,인천강화경찰서,강화군,16~20세,남자,15
2017,인천,강화군,인천강화경찰서,강화군,16~20세,여자,10
2017,인천,강화군,인천강화경찰서,강화군,21~30세,남자,192
2017,인천,강화군,인천강화경찰서,강화군,21~30세,여자,116
2017,인천,강화군,인천강화경찰서,강화군,31~40세,남자,261
2017,인천,강화군,인천강화경찰서,강화군,31~40세,여자,129
2017,인천,강화군,인천강화경찰서,강화군,41~50세,남자,490
2017,인천,강화군,인천강화경찰서,강화군,41~50세,여자,247
2017,인천,강화군,인천강화경찰서,강화군,51~60세,남자,827
2017,인천,강화군,인천강화경찰서,강화군,51~60세,여자,675
2017,인천,강화군,인천강화경찰서,강화군,61~세,남자,1572
2017,인천,강화군,인천강화경찰서,강화군,61~세,여자,2857
2017,경남,거제시,경남거제경찰서,거제시,16~20세,남자,37
2017,경남,거제시,경남거제경찰서,거제시,16~20세,여자,31
2017,경남,거제시,경남거제경찰서,거제시,21~30세,남자,1907
2017,경남,거제시,경남거제경찰서,거제시,21~30세,여자,988
2017,경남,거제시,경남거제경찰서,거제시,31~40세,남자,5376
2017,경남,거제시,경남거제경찰서,거제시,31~40세,여자,1290
2017,경남,거제시,경남거제경찰서,거제시,41~50세,남자,4712
2017,경남,거제시,경남거제경찰서,거제시,41~50세,여자,1496
2017,경남,거제시,경남거제경찰서,거제시,51~60세,남자,3113
2017,경남,거제시,경남거제경찰서,거제시,51~60세,여자,1966
2017,경남,거제시,경남거제경찰서,거제시,61~세,남자,1999
2017,경남,거제시,경남거제경찰서,거제시,61~세,여자,3906
2017,경남,거창군,경남거창경찰서,거창군,16~20세,남자,16
2017,경남,거창군,경남거창경찰서,거창군,16~20세,여자,20
2017,경남,거창군,경남거창경찰서,거창군,21~30세,남자,377
2017,경남,거창군,경남거창경찰서,거창군,21~30세,여자,146
2017,경남,거창군,경남거창경찰서,거창군,31~40세,남자,353
2017,경남,거창군,경남거창경찰서,거창군,31~40세,여자,170
2017,경남,거창군,경남거창경찰서,거창군,41~50세,남자,442
2017,경남,거창군,경남거창경찰서,거창군,41~50세,여자,245
2017,경남,거창군,경남거창경찰서,거창군,51~60세,남자,687
2017,경남,거창군,경남거창경찰서,거창군,51~60세,여자,526
2017,경남,거창군,경남거창경찰서,거창군,61~세,남자,1163
2017,경남,거창군,경남거창경찰서,거창군,61~세,여자,3839
2017,경북,경산시,경북경산경찰서,경산시,16~20세,남자,630
2017,경북,경산시,경북경산경찰서,경산시,16~20세,여자,743
2017,경북,경산시,경북경산경찰서,경산시,21~30세,남자,5808
2017,경북,경산시,경북경산경찰서,경산시,21~30세,여자,4256
2017,경북,경산시,경북경산경찰서,경산시,31~40세,남자,3808
2017,경북,경산시,경북경산경찰서,경산시,31~40세,여자,1625
2017,경북,경산시,경북경산경찰서,경산시,41~50세,남자,3039
2017,경북,경산시,경북경산경찰서,경산시,41~50세,여자,1749
2017,경북,경산시,경북경산경찰서,경산시,51~60세,남자,2615
2017,경북,경산시,경북경산경찰서,경산시,51~60세,여자,2342
2017,경북,경산시,경북경산경찰서,경산시,61~세,남자,2522
2017,경북,경산시,경북경산경찰서,경산시,61~세,여자,6800
2017,경북,경주시,경북경주경찰서,경주시,16~20세,남자,498
2017,경북,경주시,경북경주경찰서,경주시,16~20세,여자,328
2017,경북,경주시,경북경주경찰서,경주시,21~30세,남자,3675
2017,경북,경주시,경북경주경찰서,경주시,21~30세,여자,2275
2017,경북,경주시,경북경주경찰서,경주시,31~40세,남자,2577
2017,경북,경주시,경북경주경찰서,경주시,31~40세,여자,1102
2017,경북,경주시,경북경주경찰서,경주시,41~50세,남자,2826
2017,경북,경주시,경북경주경찰서,경주시,41~50세,여자,1561
2017,경북,경주시,경북경주경찰서,경주시,51~60세,남자,3346
2017,경북,경주시,경북경주경찰서,경주시,51~60세,여자,2813
2017,경북,경주시,경북경주경찰서,경주시,61~세,남자,4077
2017,경북,경주시,경북경주경찰서,경주시,61~세,여자,10600
2017,충남,계룡시,충남논산경찰서,계룡시,16~20세,남자,9
2017,충남,계룡시,충남논산경찰서,계룡시,16~20세,여자,6
2017,충남,계룡시,충남논산경찰서,계룡시,21~30세,남자,235
2017,충남,계룡시,충남논산경찰서,계룡시,21~30세,여자,111
2017,충남,계룡시,충남논산경찰서,계룡시,31~40세,남자,308
2017,충남,계룡시,충남논산경찰서,계룡시,31~40세,여자,158
2017,충남,계룡시,충남논산경찰서,계룡시,41~50세,남자,333
2017,충남,계룡시,충남논산경찰서,계룡시,41~50세,여자,210
2017,충남,계룡시,충남논산경찰서,계룡시,51~60세,남자,260
2017,충남,계룡시,충남논산경찰서,계룡시,51~60세,여자,323
2017,충남,계룡시,충남논산경찰서,계룡시,61~세,남자,276
2017,충남,계룡시,충남논산경찰서,계룡시,61~세,여자,671
2017,인천,계양구,인천계양경찰서,계양구,16~20세,남자,43
2017,인천,계양구,인천계양경찰서,계양구,16~20세,여자,186
2017,인천,계양구,인천계양경찰서,계양구,21~30세,남자,1160
2017,인천,계양구,인천계양경찰서,계양구,21~30세,여자,1236
2017,인천,계양구,인천계양경찰서,계양구,31~40세,남자,2760
2017,인천,계양구,인천계양경찰서,계양구,31~40세,여자,1524
2017,인천,계양구,인천계양경찰서,계양구,41~50세,남자,3451
2017,인천,계양구,인천계양경찰서,계양구,41~50세,여자,1889
2017,인천,계양구,인천계양경찰서,계양구,51~60세,남자,3122
2017,인천,계양구,인천계양경찰서,계양구,51~60세,여자,2642
2017,인천,계양구,인천계양경찰서,계양구,61~세,남자,2455
2017,인천,계양구,인천계양경찰서,계양구,61~세,여자,5212
2017,경북,고령군,경북고령경찰서,고령군,16~20세,남자,5
2017,경북,고령군,경북고령경찰서,고령군,21~30세,남자,95
2017,경북,고령군,경북고령경찰서,고령군,21~30세,여자,57
2017,경북,고령군,경북고령경찰서,고령군,31~40세,남자,177
2017,경북,고령군,경북고령경찰서,고령군,31~40세,여자,66
2017,경북,고령군,경북고령경찰서,고령군,41~50세,남자,338
2017,경북,고령군,경북고령경찰서,고령군,41~50세,여자,139
2017,경북,고령군,경북고령경찰서,고령군,51~60세,남자,568
2017,경북,고령군,경북고령경찰서,고령군,51~60세,여자,354
2017,경북,고령군,경북고령경찰서,고령군,61~세,남자,798
2017,경북,고령군,경북고령경찰서,고령군,61~세,여자,1726
2017,강원,고성군,강원고성경찰서,고성군,16~20세,남자,63
2017,강원,고성군,강원고성경찰서,고성군,16~20세,여자,16
2017,강원,고성군,강원고성경찰서,고성군,21~30세,남자,1125
2017,강원,고성군,강원고성경찰서,고성군,21~30세,여자,401
2017,강원,고성군,강원고성경찰서,고성군,31~40세,남자,587
2017,강원,고성군,강원고성경찰서,고성군,31~40세,여자,201
2017,강원,고성군,강원고성경찰서,고성군,41~50세,남자,827
2017,강원,고성군,강원고성경찰서,고성군,41~50세,여자,366
2017,강원,고성군,강원고성경찰서,고성군,51~60세,남자,1215
2017,강원,고성군,강원고성경찰서,고성군,51~60세,여자,832
2017,강원,고성군,강원고성경찰서,고성군,61~세,남자,1974
2017,강원,고성군,강원고성경찰서,고성군,61~세,여자,4866
2017,전북,고창군,전북고창경찰서,고창군,16~20세,남자,42
2017,전북,고창군,전북고창경찰서,고창군,16~20세,여자,27
2017,전북,고창군,전북고창경찰서,고창군,21~30세,남자,188
2017,전북,고창군,전북고창경찰서,고창군,21~30세,여자,123
2017,전북,고창군,전북고창경찰서,고창군,31~40세,남자,335
2017,전북,고창군,전북고창경찰서,고창군,31~40세,여자,115
2017,전북,고창군,전북고창경찰서,고창군,41~50세,남자,471
2017,전북,고창군,전북고창경찰서,고창군,41~50세,여자,184
2017,전북,고창군,전북고창경찰서,고창군,51~60세,남자,726
2017,전북,고창군,전북고창경찰서,고창군,51~60세,여자,474
2017,전북,고창군,전북고창경찰서,고창군,61~세,남자,1300
2017,전북,고창군,전북고창경찰서,고창군,61~세,여자,4196
2017,전남,고흥군,전남고흥경찰서,고흥군,16~20세,남자,13
2017,전남,고흥군,전남고흥경찰서,고흥군,21~30세,남자,139
2017,전남,고흥군,전남고흥경찰서,고흥군,21~30세,여자,114
2017,전남,고흥군,전남고흥경찰서,고흥군,31~40세,남자,250
2017,전남,고흥군,전남고흥경찰서,고흥군,31~40세,여자,117
2017,전남,고흥군,전남고흥경찰서,고흥군,41~50세,남자,511
2017,전남,고흥군,전남고흥경찰서,고흥군,41~50세,여자,208
2017,전남,고흥군,전남고흥경찰서,고흥군,51~60세,남자,973
2017,전남,고흥군,전남고흥경찰서,고흥군,51~60세,여자,601
2017,전남,고흥군,전남고흥경찰서,고흥군,61~세,남자,2025
2017,전남,고흥군,전남고흥경찰서,고흥군,61~세,여자,6042
