광역,기초,면적 (㎢),성별합,남자,여자,인구밀도(명/㎢),인구증가율 (%)
서울,소계,605.24,9857426,4830206,5027220,16286.73,-0.74
서울,종로구,23.91,154770,75967,78803,6472.27,1.33
서울,중구,9.96,125709,62253,63456,12621.65,0.37
서울,용산구,21.87,229161,110878,118283,10480.02,-0.47
서울,성동구,16.86,304808,150368,154440,18082,1.85
서울,광진구,17.06,357703,174414,183289,20963.37,0.14
서울,동대문구,14.22,350647,175324,175323,24667.38,-1.25
서울,중랑구,18.5,408226,203325,204901,22071.82,-0.68
서울,성북구,24.57,444055,216556,227499,18070.71,-1.4
서울,강북구,23.6,324479,158918,165561,13748.78,-0.83
서울,도봉구,20.67,344166,168759,175407,16651.91,-1.16
서울,노원구,35.44,554403,269508,284895,15644.35,-2.32
서울,은평구,29.71,486794,236353,250441,16385.21,-0.95
서울,서대문구,17.63,312800,151144,161656,17746.25,-0.44
서울,마포구,23.85,374915,178939,195976,15718.31,-1.31
서울,양천구,17.41,471154,232518,238636,27067.22,-1.38
서울,강서구,41.44,601691,292989,308702,14520.68,1.04
서울,구로구,20.12,410742,204003,206739,20414.66,-1.63
서울,금천구,13.02,235154,119497,115657,18060.76,-0.1
서울,영등포구,24.55,368550,183975,184575,15013.33,-0.56
서울,동작구,16.35,396217,193255,202962,24227.21,-1.19
서울,관악구,29.57,503297,253661,249636,17021.19,-0.7
서울,서초구,46.99,441102,211236,229866,9388.03,-1.36
서울,강남구,39.5,556164,266442,289722,14079.69,-1.93
서울,송파구,33.87,664496,323147,341349,19616.2,1.01
서울,강동구,24.59,436223,216777,219446,17740.6,-1.79
부산,소계,770.04,3470653,1709508,1761145,4507.11,-0.8
부산,중구,2.83,44218,21662,22556,15624.73,-2.19
부산,서구,13.98,110039,53873,56166,7871.17,-2.6
부산,동구,9.74,88868,43927,44941,9124.02,-1.07
부산,영도구,14.19,123521,61156,62365,8704.79,-2.25
부산,부산진구,29.67,371703,181502,190201,12527.91,-1.28
부산,동래구,16.63,270727,132673,138054,16279.43,-0.74
부산,남구,26.81,273854,134592,139262,10214.62,-1.77
부산,북구,39.37,302924,150355,152569,7694.28,-2.35
부산,해운대구,51.47,412039,199630,212409,8005.42,-1.86
부산,사하구,41.89,333301,166434,166867,7956.58,-0.39
부산,금정구,65.27,244469,120153,124316,3745.5,-0.06
부산,강서구,181.49,117382,60677,56705,646.77,7.78
부산,연제구,12.1,206742,100613,106129,17086.12,-0.25
부산,수영구,10.21,179996,85778,94218,17629.38,0.37
부산,사상구,36.09,229219,116416,112803,6351.32,-1.54
부산,기장군,218.3,161651,80067,81584,740.5,1.97
대구,소계,883.56,2475231,1227814,1247417,2801.43,-0.38
대구,중구,7.06,78986,38395,40591,11187.82,-0.91
대구,동구,182.18,349379,173301,176078,1917.77,-0.56
대구,서구,17.33,191992,96795,95197,11078.59,-3.77
대구,남구,17.44,152845,74133,78712,8764.05,-2.29
대구,북구,94.07,441375,220579,220796,4691.98,0.23
대구,수성구,76.46,439211,213939,225272,5744.32,-1.74
대구,달서구,62.34,578068,286779,291289,9272.83,-2.34
대구,달성군,426.68,243375,123893,119482,570.39,11.5
인천,소계,1063.09,2948542,1479597,1468945,2773.56,0.19
인천,중구,140.27,117999,61344,56655,841.23,2.39
인천,동구,7.19,69487,35057,34430,9664.39,-2.15
인천,남구,24.83,419267,211602,207665,16885.5,0.52
인천,연수구,54.95,335142,166878,168264,6099.04,1.98
인천,남동구,57.05,536578,267290,269288,9405.4,1.05
인천,부평구,32.01,539941,268118,271823,16867.89,-1.78
