광역,기초,면적 (㎢),성별합,남자,여자,인구밀도 (명/㎢),인구증가율 (%)
서울특별시,소계,605.24,9857426,4830206,5027220,16286.73,-0.74
부산광역시,소계,770.04,3470653,1709508,1761145,4507.11,-0.8
대구광역시,소계,883.56,2475231,1227814,1247417,2801.43,-0.38
인천광역시,소계,1063.09,2948542,1479597,1468945,2773.56,0.19
광주광역시,소계,501.18,1463770,725295,738475,2920.65,-0.37
대전광역시,소계,539.5,1502227,750969,751258,2784.48,-0.8
울산광역시,소계,1061.18,1165132,599480,565652,1097.96,-0.61
세종특별자치시,소계,465,280100,139734,140366,602.37,15.24
경기도,소계,10186.62,12873895,6475323,6398572,1263.8,1.24
강원도,소계,16875.01,1550142,780635,769507,91.86,-0.04
충청북도,소계,7407.67,1594432,805091,789341,215.24,0.18
충청남도,소계,8227.37,2116770,1076270,1040500,257.28,0.96
전라북도,소계,8069.1,1854607,922307,932300,229.84,-0.55
전라남도,소계,12335.13,1896424,948290,948134,153.74,-0.39
경상북도,소계,19032.54,2691706,1353164,1338542,141.43,-0.32
경상남도,소계,10539.77,3380404,1701413,1678991,320.73,0.19
제주특별자치도,소계,1850.16,657083,330823,326260,355.15,2.41
