년도,광역,기초,시구only,경찰서,연령,항목,인구수
2017,강원,강릉시,강릉시,강원강릉경찰서,00~06세,남,5104
2017,강원,강릉시,강릉시,강원강릉경찰서,00~06세,여,4785
2017,강원,강릉시,강릉시,강원강릉경찰서,13~15세,남,3189
2017,강원,강릉시,강릉시,강원강릉경찰서,13~15세,여,2887
2017,강원,강릉시,강릉시,강원강릉경찰서,16~20세,남,8574
2017,강원,강릉시,강릉시,강원강릉경찰서,16~20세,여,7484
2017,강원,강릉시,강릉시,강원강릉경찰서,21~30세,남,16194
2017,강원,강릉시,강릉시,강원강릉경찰서,21~30세,여,11450
2017,강원,강릉시,강릉시,강원강릉경찰서,31~40세,남,12442
2017,강원,강릉시,강릉시,강원강릉경찰서,31~40세,여,11835
2017,강원,강릉시,강릉시,강원강릉경찰서,41~50세,남,17458
2017,강원,강릉시,강릉시,강원강릉경찰서,41~50세,여,16671
2017,강원,강릉시,강릉시,강원강릉경찰서,51~60세,남,18061
2017,강원,강릉시,강릉시,강원강릉경찰서,51~60세,여,18516
2017,강원,강릉시,강릉시,강원강릉경찰서,61~세,남,22186
2017,강원,강릉시,강릉시,강원강릉경찰서,61~세,여,28894
2017,강원,강릉시,강릉시,강원강릉경찰서,07~12세,남,5364
2017,강원,강릉시,강릉시,강원강릉경찰서,07~12세,여,4820
2017,전남,강진군,강진군,전남강진경찰서,00~06세,남,799
2017,전남,강진군,강진군,전남강진경찰서,00~06세,여,780
2017,전남,강진군,강진군,전남강진경찰서,13~15세,남,428
2017,전남,강진군,강진군,전남강진경찰서,13~15세,여,391
2017,전남,강진군,강진군,전남강진경찰서,16~20세,남,915
2017,전남,강진군,강진군,전남강진경찰서,16~20세,여,663
2017,전남,강진군,강진군,전남강진경찰서,21~30세,남,1392
2017,전남,강진군,강진군,전남강진경찰서,21~30세,여,1126
2017,전남,강진군,강진군,전남강진경찰서,31~40세,남,1446
2017,전남,강진군,강진군,전남강진경찰서,31~40세,여,1395
2017,전남,강진군,강진군,전남강진경찰서,41~50세,남,2256
2017,전남,강진군,강진군,전남강진경찰서,41~50세,여,1809
2017,전남,강진군,강진군,전남강진경찰서,51~60세,남,3048
2017,전남,강진군,강진군,전남강진경찰서,51~60세,여,2909
2017,전남,강진군,강진군,전남강진경찰서,61~세,남,5266
2017,전남,강진군,강진군,전남강진경찰서,61~세,여,7735
2017,전남,강진군,강진군,전남강진경찰서,07~12세,남,662
2017,전남,강진군,강진군,전남강진경찰서,07~12세,여,617
2017,경남,거제시,거제시,경남거제경찰서,00~06세,남,12023
2017,경남,거제시,거제시,경남거제경찰서,00~06세,여,11339
2017,경남,거제시,거제시,경남거제경찰서,13~15세,남,4318
2017,경남,거제시,거제시,경남거제경찰서,13~15세,여,3885
2017,경남,거제시,거제시,경남거제경찰서,16~20세,남,7670
2017,경남,거제시,거제시,경남거제경찰서,16~20세,여,5859
2017,경남,거제시,거제시,경남거제경찰서,21~30세,남,16594
2017,경남,거제시,거제시,경남거제경찰서,21~30세,여,11740
2017,경남,거제시,거제시,경남거제경찰서,31~40세,남,29601
2017,경남,거제시,거제시,경남거제경찰서,31~40세,여,22129
2017,경남,거제시,거제시,경남거제경찰서,41~50세,남,26729
2017,경남,거제시,거제시,경남거제경찰서,41~50세,여,21381
2017,경남,거제시,거제시,경남거제경찰서,51~60세,남,19302
2017,경남,거제시,거제시,경남거제경찰서,51~60세,여,16801
2017,경남,거제시,거제시,경남거제경찰서,61~세,남,14116
2017,경남,거제시,거제시,경남거제경찰서,61~세,여,16926
2017,경남,거제시,거제시,경남거제경찰서,07~12세,남,9003
2017,경남,거제시,거제시,경남거제경찰서,07~12세,여,8431
2017,경남,거창군,거창군,경남거창경찰서,00~06세,남,1493
2017,경남,거창군,거창군,경남거창경찰서,00~06세,여,1354
2017,경남,거창군,거창군,경남거창경찰서,13~15세,남,910
2017,경남,거창군,거창군,경남거창경찰서,13~15세,여,807
2017,경남,거창군,거창군,경남거창경찰서,16~20세,남,2122
2017,경남,거창군,거창군,경남거창경찰서,16~20세,여,1511
2017,경남,거창군,거창군,경남거창경찰서,21~30세,남,3220
2017,경남,거창군,거창군,경남거창경찰서,21~30세,여,2063
2017,경남,거창군,거창군,경남거창경찰서,31~40세,남,2921
2017,경남,거창군,거창군,경남거창경찰서,31~40세,여,2828
2017,경남,거창군,거창군,경남거창경찰서,41~50세,남,4408
2017,경남,거창군,거창군,경남거창경찰서,41~50세,여,4198
2017,경남,거창군,거창군,경남거창경찰서,51~60세,남,5191
2017,경남,거창군,거창군,경남거창경찰서,51~60세,여,5101
2017,경남,거창군,거창군,경남거창경찰서,61~세,남,7714
2017,경남,거창군,거창군,경남거창경찰서,61~세,여,11313
2017,경남,거창군,거창군,경남거창경찰서,07~12세,남,1512
2017,경남,거창군,거창군,경남거창경찰서,07~12세,여,1417
2017,경북,경산시,경산시,경북경산경찰서,00~06세,남,8389
2017,경북,경산시,경산시,경북경산경찰서,00~06세,여,8016
2017,경북,경산시,경산시,경북경산경찰서,13~15세,남,3573
2017,경북,경산시,경산시,경북경산경찰서,13~15세,여,3146
2017,경북,경산시,경산시,경북경산경찰서,16~20세,남,11747
2017,경북,경산시,경산시,경북경산경찰서,16~20세,여,13042
2017,경북,경산시,경산시,경북경산경찰서,21~30세,남,26019
2017,경북,경산시,경산시,경북경산경찰서,21~30세,여,20324
2017,경북,경산시,경산시,경북경산경찰서,31~40세,남,20884
2017,경북,경산시,경산시,경북경산경찰서,31~40세,여,18167
2017,경북,경산시,경산시,경북경산경찰서,41~50세,남,22455
2017,경북,경산시,경산시,경북경산경찰서,41~50세,여,21388
2017,경북,경산시,경산시,경북경산경찰서,51~60세,남,21095
2017,경북,경산시,경산시,경북경산경찰서,51~60세,여,20875
2017,경북,경산시,경산시,경북경산경찰서,61~세,남,22001
2017,경북,경산시,경산시,경북경산경찰서,61~세,여,28914
2017,경북,경산시,경산시,경북경산경찰서,07~12세,남,6534
2017,경북,경산시,경산시,경북경산경찰서,07~12세,여,6057
2017,경북,경주시,경주시,경북경주경찰서,00~06세,남,6398
2017,경북,경주시,경주시,경북경주경찰서,00~06세,여,6133
2017,경북,경주시,경주시,경북경주경찰서,13~15세,남,3379
2017,경북,경주시,경주시,경북경주경찰서,13~15세,여,3027
2017,경북,경주시,경주시,경북경주경찰서,16~20세,남,8546
2017,경북,경주시,경주시,경북경주경찰서,16~20세,여,7305
2017,경북,경주시,경주시,경북경주경찰서,21~30세,남,18844
2017,경북,경주시,경주시,경북경주경찰서,21~30세,여,13177
