CENTER_SD_CD,CENTER_SD_NM,CENTER_SGG_CD,CENTER_SGG_NM,TEST_YEAR,TEST_ALL_CNT,MEMB_CNT,AGE_GBN_YOUTH_CNT,AGE_GBN_ADULT_CNT,AGE_GBN_CITIZEN_CNT,INPUT_GBN_ADMIN_CNT,INPUT_GBN_INBODY_CNT,TEST_GBN_GENERAL_CNT,TEST_GBN_TRIP_CNT,TEST_SEX_M,TEST_SEX_W,CERT_GBN_GOLD,CERT_GBN_SILVER,CERT_GBN_BRONZE,CERT_GBN_PARTICIPATION,TEST_AGE_YOUNGER10,TEST_AGE_TEENAGERS,TEST_AGE_TWENTIES,TEST_AGE_THIRTIES,TEST_AGE_FORTIES,TEST_AGE_FIFTIES,TEST_AGE_SIXTIES,TEST_AGE_OLDER70,AGE_GBN_CHILDREN_CNT
11,서울,11200,성동구,2014,5587,177,629,3406,1552,1554,0,3786,1801,1972,3615,240,644,1107,3596,0,869,1427,368,445,641,812,1025,0
11,서울,11710,송파구,2014,1476,96,47,1124,305,1178,0,1453,23,590,886,24,126,328,998,0,83,265,207,182,262,334,143,0
11,서울,11200,성동구,2013,4148,122,0,2697,1451,2594,0,4148,0,1434,2714,171,469,921,2587,0,27,776,345,454,673,1019,854,0
11,서울,11710,송파구,2010,2,2,0,2,0,0,0,2,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0
11,서울,11350,노원구,2020,1,1,0,1,0,0,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
11,서울,11650,서초구,2020,84,82,5,63,16,25,59,84,0,72,12,5,13,23,43,0,20,37,1,2,3,12,9,0
11,서울,11650,서초구,2014,5771,94,89,4445,1237,2031,0,3777,1994,2225,3546,310,717,1264,3480,0,777,1986,617,371,477,782,761,0
11,서울,11710,송파구,2011,82,1,0,82,0,0,0,82,0,48,34,7,16,30,29,0,1,28,26,20,6,1,0,0
26,부산,26410,금정구,2013,3474,5,0,2321,1153,2257,0,3474,0,1663,1811,145,327,856,2146,0,269,1162,118,259,400,417,849,0
26,부산,26410,금정구,2014,26,1,0,7,19,0,0,26,0,21,5,0,3,7,16,0,0,1,2,2,2,9,10,0
26,부산,26290,남구,2011,9,2,0,9,0,7,0,9,0,2,7,0,0,4,5,0,0,1,1,6,1,0,0,0
26,부산,26320,북구,2014,3662,53,616,2596,450,764,0,2661,1001,1158,2504,236,546,869,2011,0,825,563,400,656,565,415,238,0
26,부산,26290,남구,2014,4501,64,815,2864,822,1258,0,2490,2011,1904,2597,177,423,759,3142,0,931,661,591,737,539,587,455,0
26,부산,26290,남구,2013,3673,58,0,2337,1336,1875,0,3673,0,1111,2562,256,522,783,2112,0,34,345,414,584,615,940,741,0
26,부산,26290,남구,2012,2984,24,0,2984,0,2389,0,2984,0,1128,1856,74,251,699,1960,4,192,479,659,698,713,239,0,0
