TEST_CNT,CENTER_NM,AGE_GBN,TEST_GBN,TEST_AGE,INPUT_GBN,CERT_GBN,TEST_YMD,TEST_SEX
1,충주,성인,일반,47,인바디,참가증,20180725,F
1,KSPO송파,성인,일반,30,인바디,1등급,20180725,M
1,금천,성인,출장,23,관리자,참가증,20180724,M
1,포항,청소년,출장,15,관리자,3등급,20180716,F
1,나주,청소년,출장,14,관리자,참가증,20180718,M
1,오산,청소년,출장,13,관리자,참가증,20180718,M
2,세종,청소년,출장,17,관리자,참가증,20180709,M
1,오산,청소년,출장,13,관리자,3등급,20180718,M
4,사상,노인,출장,69,관리자,참가증,20180720,F
1,오산,청소년,출장,13,관리자,1등급,20180718,M
1,사상,성인,출장,56,관리자,참가증,20180720,F
1,오산,청소년,출장,13,관리자,3등급,20180718,F
1,오산,청소년,출장,13,관리자,3등급,20180718,M
1,오산,청소년,출장,13,관리자,참가증,20180718,M
1,오산,청소년,출장,13,관리자,1등급,20180718,M
1,오산,청소년,출장,13,관리자,참가증,20180718,M
1,나주,청소년,출장,14,관리자,참가증,20180719,M
1,오산,청소년,출장,13,관리자,참가증,20180718,F
1,나주,청소년,출장,14,관리자,참가증,20180719,M
1,나주,청소년,출장,14,관리자,참가증,20180719,F
1,나주,청소년,출장,14,관리자,참가증,20180719,M
1,나주,청소년,출장,14,관리자,3등급,20180719,F
1,오산,성인,일반,60,인바디,3등급,20180720,F
1,충주,노인,출장,81,관리자,참가증,20180720,F
1,나주,청소년,출장,14,관리자,3등급,20180719,M
1,천안,성인,출장,57,관리자,2등급,20180720,M
1,나주,청소년,출장,14,관리자,참가증,20180719,M
1,나주,청소년,출장,14,관리자,참가증,20180719,F
1,오산,성인,일반,37,인바디,참가증,20180720,F
1,나주,청소년,출장,14,관리자,참가증,20180719,F
1,충주,성인,출장,61,관리자,참가증,20180720,F
1,나주,청소년,출장,14,관리자,참가증,20180719,F
1,충주,노인,출장,83,관리자,참가증,20180723,F
3,KSPO송파(출장A),노인,출장,78,관리자,참가증,20180723,M
1,충주,노인,출장,82,관리자,참가증,20180723,F
1,오산,청소년,출장,15,관리자,참가증,20180719,F
1,KSPO(버스),노인,출장,73,관리자,3등급,20180723,F
2,오산,청소년,출장,14,관리자,참가증,20180719,M
1,창원,청소년,출장,16,관리자,참가증,20180717,F
1,오산,청소년,출장,15,관리자,참가증,20180719,F
1,오산,청소년,출장,15,관리자,참가증,20180719,M
1,KSPO송파(출장A),노인,출장,70,관리자,참가증,20180723,F
2,오산,청소년,출장,15,관리자,참가증,20180719,F
1,오산,청소년,출장,14,관리자,참가증,20180719,M
1,충주,노인,출장,75,관리자,참가증,20180723,M
1,KSPO(버스),노인,출장,74,관리자,3등급,20180723,F
3,서구(대전),성인,일반,60,관리자,참가증,20180723,F
1,금천,성인,출장,27,관리자,3등급,20180723,M
1,금천,성인,출장,26,관리자,2등급,20180723,M
