,년도,광역,기초,경찰서,연령,발생건수,가구수,발생율,범죄피해율
0,2017,강원,강릉시,강원강릉경찰서,16~20세,319,529,60.3,60302.46
1,2017,강원,강릉시,강원강릉경찰서,21~30세,738,7601,9.71,9709.25
2,2017,강원,강릉시,강원강릉경찰서,31~40세,820,2940,27.89,27891.16
3,2017,강원,강릉시,강원강릉경찰서,41~50세,1196,3562,33.58,33576.64
4,2017,강원,강릉시,강원강릉경찰서,51~60세,1195,5056,23.64,23635.28
5,2017,강원,강릉시,강원강릉경찰서,61~세,822,10842,7.58,7581.63
6,2017,강원,고성군,강원고성경찰서,16~20세,18,79,22.78,22784.81
7,2017,강원,고성군,강원고성경찰서,21~30세,68,1526,4.46,4456.09
8,2017,강원,고성군,강원고성경찰서,31~40세,99,788,12.56,12563.45
9,2017,강원,고성군,강원고성경찰서,41~50세,131,1193,10.98,10980.72
10,2017,강원,고성군,강원고성경찰서,51~60세,157,2047,7.67,7669.76
11,2017,강원,고성군,강원고성경찰서,61~세,108,6840,1.58,1578.95
12,2017,강원,동해시,강원동해경찰서,16~20세,97,49,197.96,197959.18
13,2017,강원,동해시,강원동해경찰서,21~30세,215,740,29.05,29054.05
14,2017,강원,동해시,강원동해경찰서,31~40세,334,1094,30.53,30530.16
15,2017,강원,동해시,강원동해경찰서,41~50세,519,1534,33.83,33833.12
16,2017,강원,동해시,강원동해경찰서,51~60세,469,2195,21.37,21366.74
17,2017,강원,동해시,강원동해경찰서,61~세,333,4530,7.35,7350.99
18,2017,강원,삼척시,강원삼척경찰서,16~20세,80,341,23.46,23460.41
19,2017,강원,삼척시,강원삼척경찰서,21~30세,204,2239,9.11,9111.21
20,2017,강원,삼척시,강원삼척경찰서,31~40세,240,681,35.24,35242.29
21,2017,강원,삼척시,강원삼척경찰서,41~50세,404,966,41.82,41821.95
22,2017,강원,삼척시,강원삼척경찰서,51~60세,425,1692,25.12,25118.2
23,2017,강원,삼척시,강원삼척경찰서,61~세,291,4524,6.43,6432.36
24,2017,강원,속초시,강원속초경찰서,16~20세,131,37,354.05,354054.05
25,2017,강원,속초시,강원속초경찰서,21~30세,421,710,59.3,59295.77
26,2017,강원,속초시,강원속초경찰서,31~40세,557,1076,51.77,51765.8
27,2017,강원,속초시,강원속초경찰서,41~50세,743,1628,45.64,45638.82
28,2017,강원,속초시,강원속초경찰서,51~60세,790,2510,31.47,31474.1
29,2017,강원,속초시,강원속초경찰서,61~세,514,4269,12.04,12040.29
30,2017,강원,양구군,강원양구경찰서,21~30세,36,710,5.07,5070.42
31,2017,강원,양구군,강원양구경찰서,31~40세,56,246,22.76,22764.23
32,2017,강원,양구군,강원양구경찰서,41~50세,61,326,18.71,18711.66
33,2017,강원,양구군,강원양구경찰서,51~60세,62,517,11.99,11992.26
34,2017,강원,양구군,강원양구경찰서,61~세,75,1099,6.82,6824.39
35,2017,강원,양양군,강원속초경찰서,21~30세,421,261,161.3,161302.68
36,2017,강원,양양군,강원속초경찰서,31~40세,557,301,185.05,185049.83
37,2017,강원,양양군,강원속초경찰서,41~50세,743,440,168.86,168863.64
38,2017,강원,양양군,강원속초경찰서,51~60세,790,826,95.64,95641.65
39,2017,강원,양양군,강원속초경찰서,61~세,514,2068,24.85,24854.93
40,2017,강원,영월군,강원영월경찰서,16~20세,28,18,155.56,155555.56
41,2017,강원,영월군,강원영월경찰서,21~30세,56,317,17.67,17665.62
42,2017,강원,영월군,강원영월경찰서,31~40세,104,376,27.66,27659.57
43,2017,강원,영월군,강원영월경찰서,41~50세,157,647,24.27,24265.84
44,2017,강원,영월군,강원영월경찰서,51~60세,175,1267,13.81,13812.15
45,2017,강원,영월군,강원영월경찰서,61~세,129,3163,4.08,4078.41
46,2017,강원,원주시,강원원주경찰서,16~20세,812,555,146.31,146306.31
47,2017,강원,원주시,강원원주경찰서,21~30세,1784,7673,23.25,23250.36
48,2017,강원,원주시,강원원주경찰서,31~40세,1909,6681,28.57,28573.57
49,2017,강원,원주시,강원원주경찰서,41~50세,2410,6695,36.0,35997.01
50,2017,강원,원주시,강원원주경찰서,51~60세,2164,7832,27.63,27630.23
51,2017,강원,원주시,강원원주경찰서,61~세,1292,11989,10.78,10776.55
52,2017,강원,인제군,강원인제경찰서,21~30세,73,780,9.36,9358.97
53,2017,강원,인제군,강원인제경찰서,31~40세,96,420,22.86,22857.14
54,2017,강원,인제군,강원인제경찰서,41~50세,86,465,18.49,18494.62
55,2017,강원,인제군,강원인제경찰서,51~60세,146,901,16.2,16204.22
56,2017,강원,인제군,강원인제경찰서,61~세,96,1674,5.73,5734.77
57,2017,강원,정선군,강원정선경찰서,21~30세,84,212,39.62,39622.64
58,2017,강원,정선군,강원정선경찰서,31~40세,166,394,42.13,42131.98
59,2017,강원,정선군,강원정선경찰서,41~50세,231,650,35.54,35538.46
60,2017,강원,정선군,강원정선경찰서,51~60세,308,1179,26.12,26123.83
61,2017,강원,정선군,강원정선경찰서,61~세,182,2693,6.76,6758.26
62,2017,강원,철원군,강원철원경찰서,16~20세,38,11,345.45,345454.55
63,2017,강원,철원군,강원철원경찰서,21~30세,67,1290,5.19,5193.8
64,2017,강원,철원군,강원철원경찰서,31~40세,95,470,20.21,20212.77
65,2017,강원,철원군,강원철원경찰서,41~50세,151,518,29.15,29150.58
66,2017,강원,철원군,강원철원경찰서,51~60세,167,879,19.0,18998.86
67,2017,강원,철원군,강원철원경찰서,61~세,122,2261,5.4,5395.84
68,2017,강원,춘천시,강원춘천경찰서,16~20세,447,581,76.94,76936.32
69,2017,강원,춘천시,강원춘천경찰서,21~30세,1249,7786,16.04,16041.61
70,2017,강원,춘천시,강원춘천경찰서,31~40세,1211,4899,24.72,24719.33
71,2017,강원,춘천시,강원춘천경찰서,41~50세,1382,4635,29.82,29816.61
72,2017,강원,춘천시,강원춘천경찰서,51~60세,1369,5892,23.23,23234.89
73,2017,강원,춘천시,강원춘천경찰서,61~세,940,10847,8.67,8665.99
74,2017,강원,태백시,강원태백경찰서,16~20세,47,18,261.11,261111.11
75,2017,강원,태백시,강원태백경찰서,21~30세,91,330,27.58,27575.76
76,2017,강원,태백시,강원태백경찰서,31~40세,122,564,21.63,21631.21
77,2017,강원,태백시,강원태백경찰서,41~50세,190,803,23.66,23661.27
78,2017,강원,태백시,강원태백경찰서,51~60세,211,1332,15.84,15840.84
79,2017,강원,태백시,강원태백경찰서,61~세,182,2907,6.26,6260.75
80,2017,강원,평창군,강원평창경찰서,16~20세,20,9,222.22,222222.22
81,2017,강원,평창군,강원평창경찰서,21~30세,90,270,33.33,33333.33
82,2017,강원,평창군,강원평창경찰서,31~40세,143,418,34.21,34210.53
83,2017,강원,평창군,강원평창경찰서,41~50세,231,762,30.31,30314.96
84,2017,강원,평창군,강원평창경찰서,51~60세,282,1366,20.64,20644.22
85,2017,강원,평창군,강원평창경찰서,61~세,179,3043,5.88,5882.35
86,2017,강원,홍천군,강원홍천경찰서,16~20세,88,22,400.0,400000.0
87,2017,강원,홍천군,강원홍천경찰서,21~30세,196,697,28.12,28120.52
88,2017,강원,홍천군,강원홍천경찰서,31~40세,230,645,35.66,35658.91
89,2017,강원,홍천군,강원홍천경찰서,41~50세,360,993,36.25,36253.78
90,2017,강원,홍천군,강원홍천경찰서,51~60세,427,1996,21.39,21392.79
91,2017,강원,홍천군,강원홍천경찰서,61~세,310,4437,6.99,6986.7
92,2017,강원,화천군,강원화천경찰서,21~30세,53,1196,4.43,4431.44
93,2017,강원,화천군,강원화천경찰서,31~40세,41,359,11.42,11420.61
94,2017,강원,화천군,강원화천경찰서,41~50세,76,339,22.42,22418.88
95,2017,강원,화천군,강원화천경찰서,51~60세,112,607,18.45,18451.4
96,2017,강원,화천군,강원화천경찰서,61~세,72,1378,5.22,5224.96
97,2017,강원,횡성군,강원횡성경찰서,16~20세,28,42,66.67,66666.67
98,2017,강원,횡성군,강원횡성경찰서,21~30세,61,286,21.33,21328.67
99,2017,강원,횡성군,강원횡성경찰서,31~40세,113,302,37.42,37417.22
100,2017,강원,횡성군,강원횡성경찰서,41~50세,276,568,48.59,48591.55
101,2017,강원,횡성군,강원횡성경찰서,51~60세,243,1221,19.9,19901.72
102,2017,강원,횡성군,강원횡성경찰서,61~세,185,3051,6.06,6063.59
103,2017,경기,가평군,경기가평경찰서,16~20세,88,8,1100.0,1100000.0
104,2017,경기,가평군,경기가평경찰서,21~30세,272,580,46.9,46896.55
105,2017,경기,가평군,경기가평경찰서,31~40세,291,720,40.42,40416.67
106,2017,경기,가평군,경기가평경찰서,41~50세,404,901,44.84,44839.07
107,2017,경기,가평군,경기가평경찰서,51~60세,507,1826,27.77,27765.61
108,2017,경기,가평군,경기가평경찰서,61~세,329,3780,8.7,8703.7
109,2017,경기,고양시 덕양구,경기고양경찰서,16~20세,527,295,178.64,178644.07
110,2017,경기,고양시 덕양구,경기고양경찰서,21~30세,1390,4449,31.24,31242.98
111,2017,경기,고양시 덕양구,경기고양경찰서,31~40세,1559,5942,26.24,26236.96
112,2017,경기,고양시 덕양구,경기고양경찰서,41~50세,1968,7161,27.48,27482.2
113,2017,경기,고양시 덕양구,경기고양경찰서,51~60세,1788,7332,24.39,24386.25
114,2017,경기,고양시 덕양구,경기고양경찰서,61~세,1010,12330,8.19,8191.4
115,2017,경기,고양시 일산동구,경기일산동부경찰서,16~20세,524,90,582.22,582222.22
116,2017,경기,고양시 일산동구,경기일산동부경찰서,21~30세,1583,3668,43.16,43157.03
117,2017,경기,고양시 일산동구,경기일산동부경찰서,31~40세,1481,6057,24.45,24451.05
118,2017,경기,고양시 일산동구,경기일산동부경찰서,41~50세,1747,6213,28.12,28118.46
119,2017,경기,고양시 일산동구,경기일산동부경찰서,51~60세,1351,4581,29.49,29491.38
120,2017,경기,고양시 일산동구,경기일산동부경찰서,61~세,659,5840,11.28,11284.25
121,2017,경기,고양시 일산서구,경기일산서부경찰서,16~20세,321,69,465.22,465217.39
122,2017,경기,고양시 일산서구,경기일산서부경찰서,21~30세,819,1734,47.23,47231.83
123,2017,경기,고양시 일산서구,경기일산서부경찰서,31~40세,872,2702,32.27,32272.39
124,2017,경기,고양시 일산서구,경기일산서부경찰서,41~50세,1093,3373,32.4,32404.39
125,2017,경기,고양시 일산서구,경기일산서부경찰서,51~60세,919,3160,29.08,29082.28
126,2017,경기,고양시 일산서구,경기일산서부경찰서,61~세,469,5814,8.07,8066.74
127,2017,경기,과천시,경기과천경찰서,16~20세,55,28,196.43,196428.57
128,2017,경기,과천시,경기과천경찰서,21~30세,179,387,46.25,46253.23
129,2017,경기,과천시,경기과천경찰서,31~40세,202,658,30.7,30699.09
130,2017,경기,과천시,경기과천경찰서,41~50세,263,496,53.02,53024.19
131,2017,경기,과천시,경기과천경찰서,51~60세,290,535,54.21,54205.61
132,2017,경기,과천시,경기과천경찰서,61~세,167,1322,12.63,12632.38
133,2017,경기,광명시,경기광명경찰서,16~20세,467,71,657.75,657746.48
134,2017,경기,광명시,경기광명경찰서,21~30세,1135,2174,52.21,52207.91
135,2017,경기,광명시,경기광명경찰서,31~40세,1358,4574,29.69,29689.55
136,2017,경기,광명시,경기광명경찰서,41~50세,1336,4438,30.1,30103.65
137,2017,경기,광명시,경기광명경찰서,51~60세,1298,4411,29.43,29426.43
138,2017,경기,광명시,경기광명경찰서,61~세,720,8755,8.22,8223.87
139,2017,경기,광주시,경기광주경찰서,16~20세,379,120,315.83,315833.33
140,2017,경기,광주시,경기광주경찰서,21~30세,916,2447,37.43,37433.59
141,2017,경기,광주시,경기광주경찰서,31~40세,1268,5811,21.82,21820.68
142,2017,경기,광주시,경기광주경찰서,41~50세,1434,5752,24.93,24930.46
143,2017,경기,광주시,경기광주경찰서,51~60세,1333,5527,24.12,24117.97
144,2017,경기,광주시,경기광주경찰서,61~세,751,6956,10.8,10796.43
145,2017,경기,구리시,경기구리경찰서,16~20세,316,67,471.64,471641.79
146,2017,경기,구리시,경기구리경찰서,21~30세,829,1316,62.99,62993.92
147,2017,경기,구리시,경기구리경찰서,31~40세,821,2579,31.83,31834.04
148,2017,경기,구리시,경기구리경찰서,41~50세,1044,2920,35.75,35753.42
149,2017,경기,구리시,경기구리경찰서,51~60세,909,3377,26.92,26917.38
150,2017,경기,구리시,경기구리경찰서,61~세,474,4836,9.8,9801.49
151,2017,경기,군포시,경기군포경찰서,16~20세,334,72,463.89,463888.89
152,2017,경기,군포시,경기군포경찰서,21~30세,923,2201,41.94,41935.48
153,2017,경기,군포시,경기군포경찰서,31~40세,808,3722,21.71,21708.76
154,2017,경기,군포시,경기군포경찰서,41~50세,947,3758,25.2,25199.57
155,2017,경기,군포시,경기군포경찰서,51~60세,965,3946,24.46,24455.14
156,2017,경기,군포시,경기군포경찰서,61~세,464,6692,6.93,6933.65
157,2017,경기,김포시,경기김포경찰서,16~20세,430,113,380.53,380530.97
158,2017,경기,김포시,경기김포경찰서,21~30세,1137,2595,43.82,43815.03
159,2017,경기,김포시,경기김포경찰서,31~40세,1515,5445,27.82,27823.69
160,2017,경기,김포시,경기김포경찰서,41~50세,1522,5541,27.47,27467.97
161,2017,경기,김포시,경기김포경찰서,51~60세,1338,5752,23.26,23261.47
162,2017,경기,김포시,경기김포경찰서,61~세,752,8294,9.07,9066.8
163,2017,경기,남양주시,경기남양주경찰서,16~20세,634,201,315.42,315422.89
164,2017,경기,남양주시,경기남양주경찰서,21~30세,1375,3155,43.58,43581.62
165,2017,경기,남양주시,경기남양주경찰서,31~40세,1982,6360,31.16,31163.52
166,2017,경기,남양주시,경기남양주경찰서,41~50세,2341,8073,29.0,28997.89
167,2017,경기,남양주시,경기남양주경찰서,51~60세,2168,8978,24.15,24147.92
168,2017,경기,남양주시,경기남양주경찰서,61~세,1252,14959,8.37,8369.54
169,2017,경기,동두천시,경기동두천경찰서,16~20세,149,67,222.39,222388.06
170,2017,경기,동두천시,경기동두천경찰서,21~30세,335,792,42.3,42297.98
171,2017,경기,동두천시,경기동두천경찰서,31~40세,440,1174,37.48,37478.71
172,2017,경기,동두천시,경기동두천경찰서,41~50세,500,1602,31.21,31210.99
173,2017,경기,동두천시,경기동두천경찰서,51~60세,524,2230,23.5,23497.76
174,2017,경기,동두천시,경기동두천경찰서,61~세,376,4584,8.2,8202.44
175,2017,경기,부천시,경기부천소사경찰서,16~20세,248,462,53.68,53679.65
176,2017,경기,부천시,경기부천소사경찰서,21~30세,653,8780,7.44,7437.36
177,2017,경기,부천시,경기부천소사경찰서,31~40세,660,13594,4.86,4855.08
178,2017,경기,부천시,경기부천소사경찰서,41~50세,749,14069,5.32,5323.76
179,2017,경기,부천시,경기부천소사경찰서,51~60세,867,15077,5.75,5750.48
180,2017,경기,부천시,경기부천소사경찰서,61~세,562,22365,2.51,2512.85
181,2017,경기,성남시 분당구,경기분당경찰서,16~20세,486,134,362.69,362686.57
182,2017,경기,성남시 분당구,경기분당경찰서,21~30세,1826,7157,25.51,25513.48
183,2017,경기,성남시 분당구,경기분당경찰서,31~40세,2007,11098,18.08,18084.34
184,2017,경기,성남시 분당구,경기분당경찰서,41~50세,1967,7003,28.09,28087.96
185,2017,경기,성남시 분당구,경기분당경찰서,51~60세,1644,4762,34.52,34523.31
186,2017,경기,성남시 분당구,경기분당경찰서,61~세,907,9227,9.83,9829.85
187,2017,경기,성남시 수정구,경기성남수정경찰서,16~20세,421,353,119.26,119263.46
188,2017,경기,성남시 수정구,경기성남수정경찰서,21~30세,993,5686,17.46,17463.95
