,0
0,의왕시
1,의정부시
2,이천시
3,고양시
4,파주시
5,평택시
6,포천시
7,하남시
8,화성시
9,거제시
10,거창군
11,고성군
12,김해시
13,남해군
14,
15,밀양시
16,사천시
17,산청군
18,양산시
19,의령군
20,진주시
21,창원시
22,창녕군
23,통영시
24,하동군
25,함안군
26,함양군
27,합천군
28,경산시
29,경주시
30,고령군
31,구미시
32,군위군
33,김천시
34,문경시
35,봉화군
36,상주시
37,성주군
38,안동시
39,영덕군
40,영양군
41,영주시
42,영천시
43,예천군
44,울릉군
45,울진군
46,의성군
47,청도군
48,청송군
49,칠곡군
50,포항시
51,광산구
52,남구
53,동구
54,북구
55,서구
56,달성군
57,수성구
58,중구
59,유성구
60,강서구
61,금정구
62,기장군
63,동래구
64,사상구
65,사하구
66,영도구
67,부산진구
68,해운대구
69,강동구
70,강북구
71,관악구
72,광진구
73,구로구
74,금천구
75,노원구
76,도봉구
77,동대문구
78,동작구
79,마포구
80,서대문구
81,성동구
82,송파구
83,양천구
84,영등포구
85,용산구
86,울주군
87,강화군
88,계양구
89,남동구
90,연수구
91,옹진군
92,강진군
93,고흥군
94,곡성군
95,광양시
96,구례군
97,나주시
98,담양군
99,목포시
100,신안군
101,무안군
102,보성군
103,순천시
104,여수시
105,영광군
106,영암군
107,완도군
108,장성군
109,장흥군 
110,진도군
111,함평군
112,해남군
113,화순군
114,고창군
115,군산시
116,김제시
117,남원시
118,무주군
119,부안군
120,순창군
121,완주군
122,익산시
123,임실군
124,장수군
125,전주시
126,정읍시
127,진안군
128,서귀포시
129,공주시
130,강릉시
131,동해시
132,삼척시
133,속초시
134,양양군
135,양구군
136,영월군
137,원주시
138,인제군
139,정선군
140,철원군
141,춘천시
142,태백시
143,평창군
144,홍천군
145,화천군
146,횡성군
147,가평군
148,과천시
149,광명시
150,광주시
151,구리시
152,군포시
153,김포시
154,남양주시
155,동두천시
156,부천시
157,성남시
158,수원시
159,시
160,안산시
161,안성시
162,안양시
163,양주시
164,양평군
165,여주시
166,연천군
167,용인시
168,금산군
169,논산시
170,계룡시
171,당진시
172,보령시
173,부여군
174,서산시
175,서천군
176,세종시
177,아산시
178,예산군
179,천안시
180,청양군
181,홍성군
182,괴산군
183,증평군
184,단양군
185,보은군
186,영동군
187,옥천군
188,음성군
189,제천시
190,진천군
191,청주시
192,충주시
193,태안군
