분류,제목,만료날짜,참여인원
육아/교육,학교폭력 가해자의 생활기록부 이력 삭제 권한을 피해자에게 주세요,2021-03-28,"2,742명"
미래,대구경북신공항 특별법을 통과시켜주세요!!,2021-03-28,640명
보건복지,강원대와 강릉원주대의 통합을 반대합니다.,2021-03-28,440명
정치개혁,택배 노동조합의 갑질,2021-03-28,"2,204명"
보건복지,“故김동희”어린이를 기억하시나요? 저는 편도수술 의료사고의 추가 피해자입니다. 더 이상 억울한 의료사고 피해자가 없도록 강력한 재발 방지 제도와 법안을 만들어 주세요.,2021-03-28,"18,761명"
교통/건축/국토,코로나백신 운송차량중 자가용화물차 유상운송행위여부를  조사해주세요,2021-03-28,262명
행정,kbs TV수신료는 누구를 위한것입니까?,2021-03-28,"1,694명"
성장동력,주식투자 실시간 스트리밍 노출 금지 청원 합니다.,2021-03-28,"1,273명"
육아/교육,교육계 적폐 청산을 위한 현직 교사의 단식 선언문,2021-03-28,"2,028명"
기타,19일 감포압바다 거룡호 침물...,2021-03-28,263명
일자리,코로나19에 울고 본사 갑질에 죽어가는 *** 지사장들을 살려주세요!!!,2021-03-28,476명
인권/성평등,미혼 외국인 연인의 입국을 인정해주세요!!,2021-03-28,485명
반려동물,제발 반려견 적정 의료수가를 만들어 주세요.,2021-03-28,899명
기타,"오빠를 낙인찍어 감당할 수 없는 고통을 가해 자살시도하게 만든 한 준정부기관의 적폐, 제발 청산시켜주십시오.",2021-03-28,430명
보건복지,뇌사자 장기이식 과정의 공정성과 투명성을 점검해주시기 바랍니다.,2021-03-28,311명
기타,"고의적인 사기로 돈 한푼 받지 못하고 경찰서에서는 기소의견, 검찰에서는 무혐의로 피해나가는 사기꾼을 처벌해 주십시요.",2021-03-28,389명
보건복지,장애 심사판정 문제점과 개선요구,2021-03-28,195명
보건복지,"방역당국은 코로나 진단 검사법 및 백신 관련하여 과학적 증거에 근거한 객관적 사실관계 자료를  실시간으로 공개하여 국민들과 공유하고, 국민의 검증을 반드시 받으실 것을 촉구합니다.",2021-03-28,872명
육아/교육,9월 학기제를 도입하여 2020학년도 교육 과정 기간을 연장할 것을 요구합니다,2021-03-28,301명
일자리,5인미만 사업장에도 근로기준법을 적용시켜주세요,2021-03-28,338명
성장동력,보이스피싱사기!!! 오늘날 심각한 사회문제!!! 정부가 특단의 대책를 늦춘다면 국가적 큰 손실로...  소 잃고 외양간 고치는 격이...,2021-03-28,380명
안전/환경,"힘의 논리 , 거대 공룡그룹 **화재와 6년간의 법정투쟁 도와주세요.!!",2021-03-28,264명
