TEST_CNT,CENTER_NM,AGE_GBN,TEST_GBN,TEST_AGE,INPUT_GBN,CERT_GBN,TEST_YMD,TEST_SEX
4,KSPO아산,성인,일반,37,,2등급,20210302,M
1,강북,노인,일반,72,,2등급,20210303,M
4,KSPO아산,성인,일반,23,,참가증,20210303,M
1,KSPO송파,성인,일반,61,관리자,3등급,20210303,M
7,세종,성인,일반,63,관리자,2등급,20210303,F
2,군산,성인,일반,36,관리자,참가증,20210303,F
1,춘천,성인,일반,19,관리자,참가증,20210303,M
7,진천,성인,일반,19,관리자,참가증,20210303,M
2,마포,성인,일반,61,관리자,참가증,20210303,M
2,KSPO아산,노인,일반,71,관리자,참가증,20210303,F
1,KSPO광주,성인,일반,60,관리자,1등급,20210303,F
2,시흥,노인,일반,79,관리자,2등급,20210303,M
1,세종,성인,일반,38,관리자,3등급,20210303,F
1,구미,성인,일반,19,관리자,참가증,20210303,M
5,스포원(금정),성인,출장,53,관리자,3등급,20210303,M
1,영동,성인,출장,50,관리자,참가증,20210303,F
1,영동,성인,출장,45,관리자,참가증,20210303,M
1,영동,성인,출장,54,관리자,참가증,20210303,F
1,의정부,성인,일반,61,관리자,참가증,20210303,M
2,안산,노인,일반,78,관리자,3등급,20210303,M
2,스포원(금정),성인,일반,48,관리자,참가증,20210303,M
1,스포원(금정),성인,일반,38,관리자,참가증,20210303,M
1,광주,성인,일반,55,관리자,참가증,20210303,F
7,마포,노인,일반,71,관리자,1등급,20210303,M
1,의정부,노인,일반,66,관리자,2등급,20210303,F
3,KSPO아산,성인,일반,25,관리자,참가증,20210303,M
3,KSPO아산,성인,일반,60,,참가증,20210303,M
1,동구(인천),성인,일반,62,,2등급,20210303,M
2,사상,성인,일반,25,관리자,참가증,20210302,M
1,의정부,노인,일반,70,관리자,3등급,20210303,M
3,세종,성인,일반,59,관리자,참가증,20210303,F
1,영동,성인,출장,38,관리자,참가증,20210303,F
1,서구(광주),성인,일반,50,관리자,참가증,20210303,F
1,미추홀,노인,일반,67,관리자,3등급,20210303,M
1,미추홀,성인,일반,56,관리자,3등급,20210303,M
2,서구(대전),성인,일반,20,관리자,참가증,20210303,M
1,세종,성인,일반,32,관리자,참가증,20210303,F
1,서구(광주),성인,일반,62,관리자,참가증,20210303,F
1,KSPO광주,성인,일반,62,관리자,참가증,20210303,F
1,남구(울산),성인,일반,63,관리자,참가증,20210303,M
1,스포원(금정),성인,출장,37,관리자,참가증,20210303,M
1,광산,성인,일반,61,관리자,2등급,20210303,M
3,스포원(금정),성인,일반,46,관리자,3등급,20210303,M
3,마포,성인,일반,64,관리자,3등급,20210303,M
4,스포원(금정),성인,일반,54,관리자,참가증,20210303,M
2,KSPO송파,성인,일반,35,관리자,참가증,20210303,M
1,달서,노인,일반,73,인바디,3등급,20210304,F
2,시흥,성인,일반,60,관리자,참가증,20210304,M
1,세종,성인,일반,37,관리자,참가증,20210304,F
3,안산,성인,일반,63,관리자,3등급,20210304,M
1,수원,노인,일반,82,관리자,3등급,20210304,M
1,계룡,성인,일반,43,관리자,2등급,20210304,F
1,서구(광주),성인,일반,63,관리자,1등급,20210304,F
1,강릉,성인,일반,62,관리자,참가증,20210304,F
1,세종,성인,일반,64,관리자,참가증,20210304,F
1,세종,성인,일반,44,관리자,참가증,20210304,M
1,수원,성인,일반,57,관리자,참가증,20210304,F
3,고양,노인,일반,68,관리자,참가증,20210304,M
1,목포,성인,일반,56,관리자,3등급,20210304,M
34,달서,성인,일반,45,인바디,3등급,20210304,F
