TEST_CNT,CENTER_NM,AGE_GBN,TEST_GBN,TEST_AGE,INPUT_GBN,CERT_GBN,TEST_YMD,TEST_SEX
1,의정부,노인,일반,65,관리자,2등급,20191224,F
1,KSPO아산(출장),노인,출장,73,관리자,1등급,20191219,F
1,마포,성인,일반,39,관리자,3등급,20191216,M
2,강릉,성인,출장,20,관리자,참가증,20191201,F
2,나주,성인,출장,56,관리자,참가증,20191204,F
1,목포,성인,출장,25,관리자,참가증,20191204,M
1,목포,성인,출장,21,관리자,참가증,20191204,M
1,목포,성인,출장,28,관리자,참가증,20191203,M
4,나주,성인,출장,62,관리자,2등급,20191204,F
7,나주,성인,출장,58,관리자,참가증,20191204,F
4,나주,성인,출장,57,관리자,참가증,20191204,F
1,오산,성인,일반,39,관리자,참가증,20191204,M
3,금천,노인,출장,76,관리자,1등급,20191204,F
1,금천,노인,출장,65,관리자,참가증,20191204,F
3,나주,노인,출장,74,관리자,3등급,20191204,F
2,나주,성인,출장,58,관리자,참가증,20191203,F
8,의정부,노인,일반,71,관리자,3등급,20191204,F
5,나주,노인,출장,75,관리자,3등급,20191204,F
5,부천,성인,일반,23,관리자,2등급,20191204,M
1,김천,청소년,출장,13,관리자,참가증,20191203,M
1,성동,노인,출장,71,관리자,참가증,20191206,M
1,목포,성인,출장,54,관리자,참가증,20191206,F
1,성동,노인,출장,75,관리자,참가증,20191206,M
1,성동,노인,출장,90,관리자,참가증,20191206,M
1,성동,노인,출장,77,관리자,2등급,20191206,F
1,김천,청소년,출장,14,관리자,참가증,20191203,M
1,부천,성인,일반,23,관리자,3등급,20191204,M
1,성동,노인,출장,67,관리자,참가증,20191206,M
2,성동,노인,출장,76,관리자,1등급,20191206,F
1,의정부,성인,일반,31,관리자,2등급,20191206,M
1,김천,청소년,출장,15,관리자,참가증,20191216,M
1,김천,청소년,출장,15,관리자,참가증,20191216,M
2,의정부,성인,일반,23,관리자,2등급,20191220,M
1,청주,성인,일반,24,인바디,3등급,20191220,F
1,포항,성인,일반,26,인바디,1등급,20191220,M
1,김천,성인,출장,19,관리자,3등급,20191219,M
1,김천,성인,출장,19,관리자,참가증,20191219,M
1,동작,성인,일반,36,관리자,2등급,20191220,M
1,남구(울산),성인,출장,25,관리자,참가증,20191220,F
1,남구(울산),성인,출장,63,관리자,참가증,20191220,F
1,김천,성인,출장,19,관리자,3등급,20191219,M
1,김천,청소년,출장,15,관리자,참가증,20191217,M
1,연수,성인,일반,22,관리자,참가증,20191220,F
1,오산,성인,일반,25,인바디,1등급,20191220,F
1,KSPO송파,성인,일반,32,관리자,1등급,20191220,M
1,김천,성인,출장,19,관리자,2등급,20191219,M
1,KSPO송파,성인,출장,29,관리자,3등급,20191204,F
2,달서,성인,일반,42,인바디,2등급,20191204,F
2,남구(부산),성인,일반,61,관리자,참가증,20191204,M
1,김천,청소년,출장,15,관리자,참가증,20191203,M
1,김천,청소년,출장,15,관리자,참가증,20191203,M
1,KSPO송파,노인,출장,67,관리자,참가증,20191204,F
1,김천,청소년,출장,15,관리자,참가증,20191203,M
1,KSPO아산(출장),청소년,출장,13,관리자,참가증,20191206,F
1,김천,청소년,출장,15,관리자,참가증,20191203,M
1,KSPO아산(출장),청소년,출장,13,관리자,참가증,20191206,F
1,부천,성인,일반,23,관리자,1등급,20191204,F
1,KSPO아산(출장),청소년,출장,13,관리자,참가증,20191206,M
1,김천,청소년,출장,15,관리자,참가증,20191202,M
1,김천,청소년,출장,15,관리자,참가증,20191202,M
3,달서,성인,일반,60,인바디,1등급,20191204,F
1,마포,성인,일반,43,관리자,참가증,20191204,M
1,김천,청소년,출장,15,관리자,참가증,20191203,M
1,KSPO송파,성인,출장,64,관리자,참가증,20191204,M
1,김천,청소년,출장,15,관리자,참가증,20191203,M
1,김천,청소년,출장,15,관리자,참가증,20191203,M
1,동구(광주),성인,일반,54,관리자,참가증,20191204,F
1,김천,청소년,출장,15,관리자,참가증,20191203,M
2,성동,성인,일반,40,관리자,참가증,20191220,F
1,북구(부산),성인,일반,29,관리자,참가증,20191220,M
1,KSPO아산,성인,일반,59,관리자,참가증,20191220,M
1,김천,청소년,출장,14,관리자,참가증,20191216,F
1,김천,청소년,출장,15,관리자,참가증,20191216,M
1,성동,성인,일반,60,관리자,3등급,20191220,M
1,동구(광주),성인,일반,26,관리자,참가증,20191220,F
